Ticker,Name,Exchange,Category,Country,Quote,Key,Income,Balance,Cash,Insider,Bonds
AAPL,Apple Inc.,NMS,Electronic Equipment,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AMZN,Amazon.com Inc.,NMS,Internet Retial,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CHWY,Chewy,NYQ,Internet Retial,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,5/30/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CDNS,Cadence Design Systems Inc,NSQ,Application Software,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CPRT,Copart Inc,NMS,Business Software & Services,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
POOL,Pool Corporation,NMS,Toys & Games,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
HFC,HollyFrontier Corporation,NQS,Oil & Gas Refining & Marketing,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
IPGP,IPG Photonics Corporation,NMS,Semiconductor Equipment & Materials,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PNW,Pinnacle West Capital Corporation,NMS,Electric Utilities,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
NCLH,Norwegian Cruise Line Holdings Ltd,NQS,Resorts & Casinos,USA,5/31/2021,5/28/2021,N,5/28/2021,5/28/2021,5/28/2021,N
CBOE,Cboe Global Markets,NMS,Diversified Investments,USA,N,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
IPG,The Interpublic Group of Companies,NQS,Advertising Agencies,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
LKQ,LKQ Corporation,NMS,Auto Parts Stores,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CDW,CDW Corporation,NMS,Information Technology Services,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ZBRA,Zebra Technologies Corporation,NMS,Communication Equipment,USA,5/31/2021,5/31/2021,5/31/2021,5/28/2021,5/28/2021,N,N
GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
MO,Altria Group Inc.,NYQ,Cigarettes,USA,6/1/2021,5/28/2021,5/11/2021,3/23/2021,3/23/2021,5/28/2021,N
DAL,Delta Air Lines Inc.,NYQ,Major Airlines,USA,5/28/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
LYFT,Lyft,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PTON,Peloton Interactive Inc,NYQ,Sporting Activities,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
PLTR,Palantir Technologies,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
UBER,Uber,NYQ,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AA,Alcoa Corporation,NYQ,Aluminum,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
KSU,Kansas City Southern,NYQ,Railroads,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
WRK,WestRock Company,NYQ,Packaging & Containers,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CHD,Church and Dwight Co,NYQ,Personal Products,USA,6/1/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CFG,Citizens Financial Group,NYQ,Regional - Northeast Banks,USA,N,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ULTA,Ulta Beauty,NMS,Specialty Retail Other,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/29/2021,N
CE,Celanese Corporation,NQS,Chemicals - Major Diversified,USA,N,5/30/2021,N,5/30/2021,5/30/2021,5/30/2021,N
DRE,Duke Realty Corporation,NQS,REIT - Industrial,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
IEX,IDEX Corporation,NQS,Diversified Machinery,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AXP,American Express Company,NYQ,Credit Services,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
BABA,Alibaba Group Holding Limited,NYQ,Specialty Retail Other,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,5/31/2021,N,5/29/2021,5/29/2021,4/25/2021,5/29/2021,N
UA,Under Armour Inc.,NYQ,Textile - Apparel Clothing,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
AMAT,Applied Materials Inc.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/30/2021,5/7/2021,5/30/2021,5/30/2021,5/30/2021,N
AMGN,Amgen Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,5/28/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
SBAC,SBA Communications Corporation,NMS,REIT - Diversified,USA,N,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AIG,American International Group Inc.,NYQ,Property & Casualty Insurance,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
ACN,Accenture plc,NYQ,Information Technology Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,5/31/2021,5/29/2021,4/25/2021,5/29/2021,5/29/2021,5/29/2021,N
MT,ArcelorMittal,NYQ,Steel & Iron,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
CNC,Centene Corporation,NYQ,Health Care Plans,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ADP,Automatic Data Processing Inc.,NMS,Business Software & Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
AKAM,Akamai Technologies Inc.,NMS,Internet Information Providers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
NLY,Annaly Capital Management Inc.,NYQ,REIT - Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
GOLD,Barrick Gold Corporation,NYQ,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
KGC,Kinross Gold,NYQ,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
ATVI,Activision Blizzard Inc.,NMS,Multimedia & Graphics Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ADSK,Autodesk Inc.,NMS,Technical & System Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA,6/1/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
WBA,Walgreens Boots Alliance Inc.,NMS,Drug Stores,USA,6/1/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ARNA,Arena Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ACAD,ACADIA Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
PANW,Palo Alto Networks Inc.,NYQ,Networking & Communication Devices,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AMD,Advanced Micro Devices Inc.,NCM,Semiconductor - Broad Line,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AET,Aetna Inc.,NYQ,Health Care Plans,USA,5/11/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
AEP,American Electric Power Company Inc.,NYQ,Electric Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ALXN,Alexion Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AVGO,Broadcom Limited,NMS,Semiconductor - Broad Line,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
EA,Electronic Arts Inc.,NMS,Multimedia & Graphics Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA,4/3/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
APD,Air Products and Chemicals Inc.,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AMBA,Ambarella Inc.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N
LULU,Lululemon Athletica Inc.,NMS,Textile - Apparel Clothing,USA,5/31/2021,N,3/30/2021,3/30/2021,5/28/2021,5/28/2021,N
RAD,Rite Aid Corporation,NYQ,Drug Stores,USA,6/1/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ARRY,Array BioPharma Inc.,NGM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AGNC,AGNC Investment Corp.,NMS,REIT - Residential,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
JBLU,JetBlue Airways Corporation,NMS,Regional Airlines,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
A,Agilent Technologies Inc.,NYQ,Medical Laboratories & Research,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ORLY,O Reilly Automotive Inc.,NMS,Auto Parts Stores,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
FOLD,Amicus Therapeutics Inc.,NGM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AZO,AutoZone Inc.,NYQ,Auto Parts Stores,USA,5/31/2021,5/28/2021,3/21/2021,3/21/2021,5/28/2021,5/28/2021,N
AN,AutoNation Inc.,NYQ,Auto Dealerships,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
BKNG,Booking Holdings Inc.,NYQ,Internet Information Providers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
AES,The AES Corporation,NYQ,Electric Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
BUD,Anheuser-Busch InBev SA NV,NYQ,Beverages - Brewers,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
ARR,ARMOUR Residential REIT Inc.,NYQ,REIT - Residential,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
BDX,Becton Dickinson and Company,NYQ,Medical Instruments & Supplies,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ACOR,Acorda Therapeutics Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ADI,Analog Devices Inc.,NMS,Semiconductor - Integrated Circuits,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ACIW,ACI Worldwide Inc.,NMS,Technical & System Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AMP,Ameriprise Financial Inc.,NYQ,Asset Management,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AEO,American Eagle Outfitters Inc.,NYQ,Apparel Stores,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N
AWK,American Water Works Company Inc.,NYQ,Water Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
NVO,Novo Nordisk A S,NYQ,Drug Manufacturers - Other,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
ALK,Alaska Air Group Inc.,NYQ,Regional Airlines,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PAA,Plains All American Pipeline L.P.,NYQ,Oil & Gas Pipelines,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AAP,Advance Auto Parts Inc.,NYQ,Auto Parts Stores,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
NAT,Nordic American Tankers Limited,NYQ,Shipping,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
FNMA,Federal National Mortgage Association,PNK,Mortgage Investment,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AGIO,Agios Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AEE,Ameren Corporation,NYQ,Electric Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AVXL,Anavex Life Sciences Corp.,NCM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ARLP,Alliance Resource Partners L.P.,NMS,Industrial Metals & Minerals,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ANTM,Anthem Inc.,NYQ,Health Care Plans,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
AG,First Majestic Silver Corp.,NYQ,Silver,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
AFSI,AmTrust Financial Services Inc.,NMS,Property & Casualty Insurance,USA,3/26/2021,N,5/29/2021,5/29/2021,4/3/2021,N,N
ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA,5/31/2021,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA,5/11/2021,N,5/29/2021,5/29/2021,5/29/2021,N,N
ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
LIN,Linde plc,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AVB,AvalonBay Communities Inc.,NYQ,REIT - Residential,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
ATW,Atwood Oceanics Inc.,NYQ,Oil & Gas Drilling & Exploration,USA,5/11/2021,N,5/29/2021,5/29/2021,5/29/2021,N,N
ALNY,Alnylam Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
AUY,Yamana Gold Inc.,NYQ,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
ASH,Ashland Global Holdings Inc.,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ACXM,Acxiom Corporation,NMS,Information Technology Services,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
ACET,Aceto Corporation,NMS,Chemicals - Major Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ABMD,ABIOMED Inc.,NMS,Medical Appliances & Equipment,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ABM,ABM Industries Incorporated,NYQ,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
LIFE,aTyr Pharma Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ATO,Atmos Energy Corporation,NYQ,Gas Utilities,USA,5/8/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AON,Aon plc,NYQ,Insurance Brokers,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ADXS,Advaxis Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ADC,Agree Realty Corporation,NYQ,Property Management,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
SAVE,Spirit Airlines Inc.,NMS,Major Airlines,USA,5/28/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ADS,Alliance Data Systems Corporation,NYQ,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ABAX,Abaxis Inc.,NMS,Medical Laboratories & Research,USA,5/11/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
AYI,Acuity Brands Inc.,NYQ,Diversified Electronics,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
ASML,ASML Holding N.V.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
AMT,American Tower Corporation,NYQ,REIT - Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ACM,AECOM,NYQ,Technical Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ATRS,Antares Pharma Inc.,NCM,Medical Instruments & Supplies,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ARW,Arrow Electronics Inc.,NYQ,Electronics Wholesale,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
ARI,Apollo Commercial Real Estate Finance Inc.,NYQ,REIT - Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AR,Antero Resources Corporation,NYQ,Oil & Gas Drilling & Exploration,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AMC,AMC Entertainment Holdings Inc.,NYQ,Movie Production Theaters,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,6/3/2021,N
AL,Air Lease Corporation,NYQ,Rental & Leasing Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AGEN,Agenus Inc.,NCM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
AAN,Aaron s Inc.,NYQ,Rental & Leasing Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
BAH,Booz Allen Hamilton Holding Corporation,NYQ,Management Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AXAS,Abraxas Petroleum Corporation,NCM,Independent Oil & Gas,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AVT,Avnet Inc.,NYQ,Electronics Wholesale,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
ALB,Albemarle Corporation,NYQ,Specialty Chemicals,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AIZ,Assurant Inc.,NYQ,Accident & Health Insurance,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
SAIC,Science Applications International Corporation,NYQ,Information Technology Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CAR,Avis Budget Group Inc.,NMS,Rental & Leasing Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AU,AngloGold Ashanti Limited,NYQ,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
APH,Amphenol Corporation,NYQ,Diversified Electronics,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
ANTH,Anthera Pharmaceuticals Inc.,NGM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
AMX,Amrica Mvil S.A.B. de C.V.,NYQ,Wireless Communications,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
AMDA,Amedica Corporation,NCM,Medical Appliances & Equipment,USA,5/11/2021,N,5/29/2021,5/29/2021,4/25/2021,N,N
AI,Arlington Asset Investment Corp.,NYQ,Mortgage Investment,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ABCO,The Advisory Board Company,NMS,Business Services,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
WMC,Western Asset Mortgage Capital Corporation,NYQ,Mortgage Investment,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
JKHY,Jack Henry & Associates Inc.,NMS,Business Software & Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AVAV,AeroVironment Inc.,NMS,Aerospace Defense Products & Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
AMKR,Amkor Technology Inc.,NMS,Semiconductor - Integrated Circuits,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ACH,Aluminum Corporation Of China Limited,NYQ,Aluminum,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
AEIS,Advanced Energy Industries Inc.,NMS,Diversified Electronics,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
Y,Alleghany Corporation,NYQ,Property & Casualty Insurance,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
MTGE,MTGE Investment Corp.,NMS,REIT - Diversified,USA,5/12/2021,N,5/30/2021,5/30/2021,5/12/2021,N,N
CENX,Century Aluminum Company,NMS,Aluminum,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ASPS,Altisource Portfolio Solutions S.A.,NMS,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AMRN,Amarin Corporation plc,NGM,Drug Manufacturers - Other,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
AMPE,Ampio Pharmaceuticals Inc.,ASE,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
ALKS,Alkermes plc,NMS,Drug Delivery,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
ADES,Advanced Emissions Solutions Inc.,NGM,Pollution & Treatment Controls,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
AAON,AAON Inc.,NMS,General Building Materials,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
XLRN,Acceleron Pharma Inc.,NGM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
VRSK,Verisk Analytics Inc.,NMS,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
VJET,Voxeljet AG,NYQ,Computer Peripherals,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
OA,Orbital ATK Inc.,NYQ,Aerospace Defense Products & Services,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
