Ticker,Name,Exchange,Category,Country,Quote,Income,Balance,Cash,Insider,Institutional,Bonds,Buybacks
VREX,Varex Imaging Corporation,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
MATW,Matthews International Corporation,NMS,Conglomerates,USA,N,N,N,N,N,N,N,N
SIBN,SI-BONE Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
NTUS,Natus Medical Incorporated,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
PTGX,Protagonist Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
ATEC,Alphatec Holdings Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
TMP,Tompkins Financial Corporation,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
SSP,The EW Scripps Company,NMS,Broadcasting - TV,USA,N,N,N,N,N,N,N,N
KIDS,OrthoPediatrics Corp,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
MDGL,Madrigal Pharmaceuticals Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
ATRA,Atara Biotherapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
TMDX,TransMedics Group Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
LUNG,Pulmonx Corporation,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
YMAB,Y-mAbs Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
OM,Outset Medical Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
SWBI,Smith & Wesson Brands Inc,NMS,Aerospace Defense Products & Services,USA,N,N,N,N,N,N,N,N
VAPO,Vapotherm Inc,NQS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
APYX,Apyx Medical Corporation,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
SIEN,Sientra Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
RCUS,Arcus Biosciences Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
VMD,Viemed Healthcare Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
IVC,Invacare Corporation,NQS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
VCRA,Vocera Communications Inc,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
PAVM,PAVmed Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
AMTI,Applied Molecular Transport Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
MASS,908 Devices Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
EAR,Eargo Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
AFIB,Acutus Medical Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
IRMD,IRadimed Corporation,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
SRGA,Surgalign Holdings Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
SOLY,Soliton Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
HFWA,Heritage Financial Corporation,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
KRYS,Krystal Biotech Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
NXGN,NextGen Healthcare Inc,NMS,Health Information Services,USA,N,N,N,N,N,N,N,N
PRPL,Purple Innovation Inc,NMS,Home Furnishings & Fixtures,USA,N,N,N,N,N,N,N,N
TLIS,Talis Biomedical Corporation,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
ALXO,ALX Oncology Holdings Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
HMHC,Houghton Mifflin Harcourt Company,NMS,Education & Training Services,USA,N,N,N,N,N,N,N,N
BSGM,BioSig Technologies Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
TELA,TELA Bio Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
XAIR,Beyond Air Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
LNSR,LENSAR Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
BATRK,The Liberty Braves Group,NMS,Entertainment - Diversified,USA,N,N,N,N,N,N,N,N
VERO,Venus Concept Inc,NMS,Medical Appliances & Equipment,USA,N,N,N,N,N,N,N,N
OBNK,Origin Bancorp Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
QUOT,Quotient Technology Inc,NMS,Advertising Agencies,USA,N,N,N,N,N,N,N,N
LMNX,Luminex Corporation,NMS,Medical Instruments & Supplies,USA,N,N,N,N,N,N,N,N
INFU,InfuSystem Holdings Inc,NQS,Medical Instruments & Supplies,USA,N,N,N,N,N,N,N,N
PLSE,Pulse Biosciences Inc,NMS,Medical Instruments & Supplies,USA,N,N,N,N,N,N,N,N
CHEF,The Chefs Warehouse Inc,NMS,Food Wholesale,USA,N,N,N,N,N,N,N,N
APR,Apria Inc,NMS,Medical Instruments & Supplies,USA,N,N,N,N,N,N,N,N
RUBY,Rubius Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
CARS,Carscom Inc,NMS,Auto Dealerships,USA,N,N,N,N,N,N,N,N
KRMD,Repro Med Systems Inc,NMS,Medical Instruments & Supplies,USA,N,N,N,N,N,N,N,N
OCDX,Ortho Clinical Diagnostics Holdings plc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
OMER,Omeros Corporation,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
LNTH,Lantheus Holdings Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
HSKA,Heska Corporation,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
LC,LendingClub Corporation,NMS,Credit Services,USA,N,N,N,N,N,N,N,N
FLGT,Fulgent Genetics Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
REPL,Replimune Group Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
FMTX,Forma Therapeutics Holdings Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
TRHC,Tabula Rasa HealthCare Inc,NMS,Health Information Services,USA,N,N,N,N,N,N,N,N
CSTL,Castle Biosciences Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
ROAD,Construction Partners Inc,NMS,Heavy Construction,USA,N,N,N,N,N,N,N,N
CLBK,Columbia Financial Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
USCR,US Concrete Inc,NMS,General Building Materials,USA,N,N,N,N,N,N,N,N
NRC,National Research Corporation,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
WOW,WideOpenWest Inc,NMS,Entertainment - Diversified,USA,N,N,N,N,N,N,N,N
PSNL,Personalis Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
AWH,Aspira Womens Health Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
FLDM,Fluidigm Corporation,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
DMTK,DermTech Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
PRDO,Perdoceo Education Corporation,NMS,Education & Training Services,USA,N,N,N,N,N,N,N,N
QTNT,Quotient Limited,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
SRCE,1st Source Corporation,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
PETQ,PetIQ Inc,NMS,Drug Manufacturers - Other,USA,N,N,N,N,N,N,N,N
PI,Impinj Inc,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
DVAX,Dynavax Technologies Corporation,NMS,Drug Manufacturers - Other,USA,N,N,N,N,N,N,N,N
WNC,Wabash National Corporation,NMS,Farm & Construction Machinery,USA,N,N,N,N,N,N,N,N
RYTM,Rhythm Pharmaceuticals Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
CODX,Co-Diagnostics Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
BVS,Bioventus Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
CNTG,Centogene NV,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
XGN,Exagen Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
LHDX,Lucira Health Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
