Symbol,
KLAC,
KHC,
MNST,
MAR,
WBA,
ROST,
EXC,
AEP,
BIIB,
CTSH,
MCHP,
ALGN,
EBAY,
IDXX,
LULU,
EA,
MTCH,
SNPS,
CDNS,
CTAS,
PAYX,
XEL,
ORLY,
ALXN,
DXCM,
PCAR,
MRVL,
XLNX,
SWKS,
ANSS,
VRSK,
FAST,
DLTR,
SIRI,
CPRT,
SGEN,
MXIM,
CDW,
VRSN,
FOXA,
CERN,
SPLK,
FOX,
INCY,
CHKP
