Symbol,
DUK,
CSX,
ZTS,
COP,
CCI,
TMUS,
GM,
CB,
STZ,
FISV,
ATVI,
BDX,
NSC,
FDX,
CL,
EL,
SO,
ITW,
ICE,
APD,
D,
GPN,
MMC,
EQIX,
SHW,
COF,
ILMN,
ADSK,
ADI,
VRTX,
PGR,
ETN,
BSX,
HUM,
EMR,
NXPI,
ECL,
AON,
EW,
NOC,
HCA,
WM,
TWTR,
REGN,
DG,
F,
NEM,
MCO,
DOW,
KLAC,
KMB
