Symbol,
FCX,
MET,
JCI,
EOG,
ROST,
EXC,
ROP,
BAX,
AEP,
GD,
BIIB,
TEL,
DD,
CTSH,
SYY,
PH,
IDXX,
CMG,
AIG,
SRE,
MCHP,
TROW,
MAR,
DLR,
CMI,
APH,
TRV,
SLB,
CNC,
EBAY,
HPQ,
EA,
BK,
SPG,
ALGN,
A,
WBA,
PSA,
GIS,
PRU,
PPG,
PSX,
INFO,
LUV
