Symbol,
BWA,
NWSA,
WU,
PNR,
CPB,
RE,
NWL,
CMA,
CF,
HSIC,
NCLH,
TAP,
NI,
DISCA,
NLSN,
REG,
PNW,
NRG,
ZION,
AOS,
IVZ,
DISH,
RHI,
ALK,
MRO,
AIZ,
KIM,
JNPR,
HII,
DVA,
BEN,
PBCT,
ROL,
COG,
FLIR,
IPGP,
VNO,
FRT,
SEE,
HBI,
PVH,
APA,
LEG,
GPS,
FOX,
RL,
PRGO,
UNM,
HFC,
NOV,
UA,
NWS
